Customer ID,Customer Name,Customer Segment,Age Group,Region,Acquisition Channel,Campaign Name,Website Visit Date,Page Views,Product Viewed,Add to Cart,Checkout Started,Purchase Completed,Purchase Value,Session Duration,Bounce Status,Customer Feedback Score,Customer Retention Status,Funnel Stage,Conversion Status
C001,Customer 001,New Visitor,18-24,South,Organic Search,SEO Growth,2026-07-01,5,Starter Plan,1,1,1,4999,310,No,4.5,Retained,Purchase,Converted
C002,Customer 002,Returning,25-34,South,Instagram,Social Summer,2026-07-02,3,Pro Plan,1,1,0,0,205,No,3.2,Not Applicable,Checkout,Drop-off
C003,Customer 003,High Value,35-44,West,Google Ads,Search Intent,2026-07-03,7,Pro Plan,1,1,1,7999,420,No,4.8,Retained,Purchase,Converted
C004,Customer 004,New Visitor,18-24,North,Facebook Ads,Lead Gen Q3,2026-07-04,1,Starter Plan,0,0,0,0,42,Yes,2.5,Not Applicable,Visit,Drop-off
C005,Customer 005,Loyal,45-54,West,Email,Retention July,2026-07-05,6,Premium Plan,1,1,1,9999,480,No,4.9,Retained,Purchase,Converted
C006,Customer 006,Returning,25-34,South,Referral,Customer Referral,2026-07-06,4,Starter Plan,1,1,0,0,260,No,3.7,Not Applicable,Checkout,Drop-off
C007,Customer 007,High Value,35-44,South,Google Ads,Search Intent,2026-07-07,8,Premium Plan,1,1,1,11999,515,No,4.7,Retained,Purchase,Converted
C008,Customer 008,New Visitor,25-34,East,Instagram,Social Summer,2026-07-08,2,Starter Plan,0,0,0,0,75,Yes,2.8,Not Applicable,Visit,Drop-off
C009,Customer 009,Returning,35-44,North,Organic Search,SEO Growth,2026-07-09,5,Pro Plan,1,1,1,7999,330,No,4.3,Churned,Purchase,Converted
C010,Customer 010,Loyal,45-54,South,Email,Retention July,2026-07-10,9,Premium Plan,1,1,1,9999,550,No,5.0,Retained,Purchase,Converted
C011,Customer 011,New Visitor,18-24,East,Facebook Ads,Lead Gen Q3,2026-07-11,4,Starter Plan,1,0,0,0,145,No,3.1,Not Applicable,Add to Cart,Drop-off
C012,Customer 012,Returning,25-34,West,Instagram,Social Summer,2026-07-12,6,Pro Plan,1,1,1,7999,390,No,4.1,Retained,Purchase,Converted
C013,Customer 013,High Value,35-44,North,Referral,Customer Referral,2026-07-13,8,Premium Plan,1,1,1,11999,510,No,4.8,Retained,Purchase,Converted
C014,Customer 014,New Visitor,25-34,South,Google Ads,Search Intent,2026-07-14,3,Starter Plan,1,0,0,0,160,No,3.0,Not Applicable,Add to Cart,Drop-off
C015,Customer 015,Loyal,55+,West,Email,Retention July,2026-07-15,10,Premium Plan,1,1,1,12999,600,No,4.9,Retained,Purchase,Converted
C016,Customer 016,Returning,35-44,South,Organic Search,SEO Growth,2026-07-16,5,Pro Plan,1,1,0,0,280,No,3.5,Not Applicable,Checkout,Drop-off
C017,Customer 017,New Visitor,18-24,North,Facebook Ads,Lead Gen Q3,2026-07-17,1,Starter Plan,0,0,0,0,38,Yes,2.2,Not Applicable,Visit,Drop-off
C018,Customer 018,High Value,35-44,East,Google Ads,Search Intent,2026-07-18,9,Premium Plan,1,1,1,11999,525,No,4.6,Retained,Purchase,Converted
C019,Customer 019,Returning,25-34,West,Instagram,Social Summer,2026-07-19,4,Pro Plan,1,1,1,7999,315,No,4.0,Churned,Purchase,Converted
C020,Customer 020,Loyal,45-54,South,Referral,Customer Referral,2026-07-20,7,Premium Plan,1,1,1,9999,455,No,4.7,Retained,Purchase,Converted
C021,Customer 021,New Visitor,25-34,East,Organic Search,SEO Growth,2026-07-21,2,Starter Plan,0,0,0,0,88,Yes,2.9,Not Applicable,Visit,Drop-off
C022,Customer 022,Returning,35-44,South,Google Ads,Search Intent,2026-07-22,6,Pro Plan,1,1,1,7999,365,No,4.4,Retained,Purchase,Converted
C023,Customer 023,High Value,45-54,North,Email,Retention July,2026-07-23,8,Premium Plan,1,1,1,12999,575,No,4.9,Retained,Purchase,Converted
C024,Customer 024,New Visitor,18-24,West,Facebook Ads,Lead Gen Q3,2026-07-24,3,Starter Plan,1,1,0,0,210,No,3.4,Not Applicable,Checkout,Drop-off
C025,Customer 025,Returning,25-34,South,Instagram,Social Summer,2026-07-25,5,Pro Plan,1,1,1,7999,340,No,4.2,Retained,Purchase,Converted
C026,Customer 026,Loyal,45-54,East,Referral,Customer Referral,2026-07-26,7,Premium Plan,1,1,1,9999,465,No,4.8,Retained,Purchase,Converted
C027,Customer 027,New Visitor,18-24,North,Facebook Ads,Lead Gen Q3,2026-07-27,2,Starter Plan,0,0,0,0,55,Yes,2.6,Not Applicable,Visit,Drop-off
C028,Customer 028,High Value,35-44,West,Google Ads,Search Intent,2026-07-28,9,Premium Plan,1,1,1,11999,535,No,4.9,Retained,Purchase,Converted
C029,Customer 029,Returning,25-34,South,Organic Search,SEO Growth,2026-07-29,5,Pro Plan,1,0,0,0,180,No,3.3,Not Applicable,Add to Cart,Drop-off
C030,Customer 030,Loyal,55+,North,Email,Retention July,2026-07-30,10,Premium Plan,1,1,1,12999,610,No,5.0,Retained,Purchase,Converted
C031,Customer 031,New Visitor,18-24,South,Instagram,Social Summer,2026-08-01,3,Starter Plan,0,0,0,0,65,Yes,2.7,Not Applicable,Visit,Drop-off
C032,Customer 032,Returning,25-34,East,Referral,Customer Referral,2026-08-02,6,Pro Plan,1,1,1,7999,375,No,4.3,Retained,Purchase,Converted
C033,Customer 033,High Value,35-44,South,Google Ads,Search Intent,2026-08-03,8,Premium Plan,1,1,1,11999,505,No,4.7,Retained,Purchase,Converted
C034,Customer 034,New Visitor,25-34,West,Facebook Ads,Lead Gen Q3,2026-08-04,4,Starter Plan,1,0,0,0,130,No,3.0,Not Applicable,Add to Cart,Drop-off
C035,Customer 035,Loyal,45-54,South,Email,Retention July,2026-08-05,9,Premium Plan,1,1,1,9999,565,No,4.9,Retained,Purchase,Converted
C036,Customer 036,Returning,35-44,North,Organic Search,SEO Growth,2026-08-06,6,Pro Plan,1,1,1,7999,385,No,4.1,Churned,Purchase,Converted
C037,Customer 037,New Visitor,18-24,East,Instagram,Social Summer,2026-08-07,2,Starter Plan,0,0,0,0,70,Yes,2.5,Not Applicable,Visit,Drop-off
C038,Customer 038,High Value,35-44,West,Google Ads,Search Intent,2026-08-08,9,Premium Plan,1,1,1,12999,540,No,4.8,Retained,Purchase,Converted
C039,Customer 039,Returning,25-34,South,Referral,Customer Referral,2026-08-09,5,Pro Plan,1,1,0,0,295,No,3.8,Not Applicable,Checkout,Drop-off
C040,Customer 040,Loyal,45-54,North,Email,Retention July,2026-08-10,10,Premium Plan,1,1,1,9999,590,No,4.9,Retained,Purchase,Converted
C041,Customer 041,New Visitor,25-34,South,Facebook Ads,Lead Gen Q3,2026-08-11,1,Starter Plan,0,0,0,0,40,Yes,2.3,Not Applicable,Visit,Drop-off
C042,Customer 042,Returning,35-44,East,Organic Search,SEO Growth,2026-08-12,7,Pro Plan,1,1,1,7999,405,No,4.4,Retained,Purchase,Converted
C043,Customer 043,High Value,45-54,West,Google Ads,Search Intent,2026-08-13,9,Premium Plan,1,1,1,12999,555,No,4.8,Retained,Purchase,Converted
C044,Customer 044,New Visitor,18-24,North,Instagram,Social Summer,2026-08-14,3,Starter Plan,1,0,0,0,155,No,3.1,Not Applicable,Add to Cart,Drop-off
C045,Customer 045,Loyal,55+,South,Referral,Customer Referral,2026-08-15,8,Premium Plan,1,1,1,9999,500,No,4.7,Retained,Purchase,Converted
C046,Customer 046,New Visitor,25-34,East,Facebook Ads,Lead Gen Q3,2026-08-16,2,Starter Plan,0,0,0,0,60,Yes,2.4,Not Applicable,Visit,Drop-off
C047,Customer 047,Returning,25-34,South,Google Ads,Search Intent,2026-08-17,6,Pro Plan,1,1,1,7999,350,No,4.3,Retained,Purchase,Converted
C048,Customer 048,High Value,35-44,North,Email,Retention July,2026-08-18,10,Premium Plan,1,1,1,12999,620,No,5.0,Retained,Purchase,Converted
